date,almoco_pred_rf
2024-10-05,118.35
2024-10-06,110.0
2024-10-07,110.1
2024-10-08,98.525
2024-10-09,98.1
2024-10-10,95.675
2024-10-11,92.375
2024-10-12,93.8
2024-10-13,94.2
2024-10-14,92.4
2024-10-15,90.275
2024-10-16,84.425
2024-10-17,83.375
2024-10-18,79.025
2024-10-19,71.3
2024-10-20,69.775
2024-10-21,66.675
2024-10-22,67.55
2024-10-23,68.05
2024-10-24,68.0
2024-10-25,67.275
2024-10-26,66.5
2024-10-27,66.1
2024-10-28,66.1
2024-10-29,68.05
2024-10-30,68.05
2024-10-31,67.65
2024-11-01,66.925
2024-11-02,101.45
2024-11-03,99.825
